target_id,region,year,quarter,target_amount,product_line
TGT-001,North,2023,Q4,2600000,All
TGT-002,South,2023,Q4,2200000,All
TGT-003,East,2023,Q4,2100000,All
TGT-004,West,2023,Q4,2700000,All
TGT-005,North,2024,Q1,2800000,All
TGT-006,South,2024,Q1,2400000,All
TGT-007,East,2024,Q1,2300000,All
TGT-008,West,2024,Q1,2900000,All
TGT-009,North,2024,Q2,3000000,All
TGT-010,South,2024,Q2,2600000,All
TGT-011,East,2024,Q2,2500000,All
TGT-012,West,2024,Q2,3100000,All
TGT-013,North,2024,Q3,3200000,All
TGT-014,South,2024,Q3,2800000,All
TGT-015,East,2024,Q3,2700000,All
TGT-016,West,2024,Q3,3400000,All
TGT-017,North,2024,Q4,3500000,All
TGT-018,South,2024,Q4,3000000,All
TGT-019,East,2024,Q4,3000000,All
TGT-020,West,2024,Q4,3500000,All
TGT-021,North,2024,Q4,1750000,Enterprise Suite
TGT-022,North,2024,Q4,1225000,SMB Platform
TGT-023,North,2024,Q4,525000,Consumer Apps
TGT-024,South,2024,Q4,1500000,Enterprise Suite
TGT-025,South,2024,Q4,1050000,SMB Platform
TGT-026,South,2024,Q4,450000,Consumer Apps
TGT-027,East,2024,Q4,1500000,Enterprise Suite
TGT-028,East,2024,Q4,1050000,SMB Platform
TGT-029,East,2024,Q4,450000,Consumer Apps
TGT-030,West,2024,Q4,1750000,Enterprise Suite
TGT-031,West,2024,Q4,1225000,SMB Platform
TGT-032,West,2024,Q4,525000,Consumer Apps
